year,month,day_of_month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_delay,IsDelayed
2024,3,11,1,DL,MSP,BNA,905,695.0,-4.0,0
2024,1,17,3,OH,CLT,SGF,1100,708.0,6.0,0
2024,2,17,6,9E,CVG,JFK,755,589.0,-8.0,0
2024,7,3,3,AS,SEA,STS,1149,618.0,22.0,1
2024,5,16,4,AS,SEA,GEG,1128,224.0,-1.0,0
2024,11,16,6,DL,LAX,BOS,2125,2611.0,1.0,0
2024,4,26,5,DL,MCO,ATL,700,404.0,88.0,1
2024,11,10,7,F9,MCO,PHL,501,861.0,-10.0,0
2024,3,3,7,AA,BOS,DFW,1417,1562.0,0.0,0
2024,5,22,3,AA,PHX,ELP,909,347.0,36.0,0
2024,1,8,1,OO,MSP,GRR,905,408.0,-4.0,0
2024,12,23,1,AA,CLT,PBI,1850,590.0,0.0,0
2024,5,19,7,OO,SEA,SFO,1340,679.0,27.0,0
2024,6,28,5,MQ,ORD,MEM,1829,491.0,15.0,1
2024,1,3,3,WN,ORD,AUS,1620,977.0,47.0,1
2024,1,31,3,DL,SLC,CLT,1020,1727.0,1.0,0
2024,1,5,5,DL,ATL,ORF,825,516.0,-4.0,0
2024,6,5,3,OO,ORD,LNK,845,466.0,-8.0,0
2024,11,26,2,WN,SMF,SNA,1145,404.0,12.0,0
2024,4,23,2,AA,SMF,PHX,1258,647.0,10.0,0
2024,8,5,1,WN,OMA,MDW,1535,423.0,1.0,1
2024,8,17,6,WN,OAK,LAX,700,337.0,-6.0,0
2024,9,28,6,DL,XNA,ATL,1239,589.0,-3.0,0
2024,8,14,3,9E,DTW,ALB,1000,489.0,-4.0,0
2024,7,11,4,WN,IND,DAL,725,755.0,-1.0,0
2024,7,20,6,AA,PHL,BOS,1600,280.0,0.0,0
2024,3,16,6,OH,ROC,CLT,1720,573.0,-4.0,0
2024,5,26,7,UA,IND,IAH,650,844.0,-6.0,0
2024,8,12,1,WN,RNO,BUR,955,374.0,0.0,0
2024,6,30,7,YX,IAD,PWM,2205,493.0,63.0,1
2024,5,18,6,WN,HNL,OGG,1830,100.0,-7.0,0
2024,6,12,3,DL,SLC,LAX,1555,590.0,2.0,0
2024,8,10,6,DL,MSP,SEA,1841,1399.0,15.0,0
2024,3,8,5,9E,TRI,ATL,1433,227.0,-9.0,0
2024,7,15,1,UA,DFW,DEN,1345,641.0,-2.0,0
2024,12,18,3,B6,BDL,FLL,600,1173.0,-4.0,1
2024,2,7,3,DL,CVG,MCO,1355,757.0,-6.0,0
2024,11,26,2,DL,SMF,SLC,1305,532.0,14.0,1
2024,9,7,6,DL,CVG,ATL,1610,373.0,0.0,0
2024,7,6,6,OO,DEN,LAX,1815,862.0,66.0,1
2024,9,12,4,WN,PHX,ABQ,1315,328.0,-3.0,0
2024,7,31,3,WN,DAL,MIA,1210,1109.0,-4.0,0
2024,11,5,2,WN,DAL,ABQ,1925,580.0,-4.0,0
2024,2,11,7,DL,SJU,DTW,1530,1930.0,-3.0,0
2024,9,11,3,AS,LAX,SEA,700,954.0,-2.0,0
2024,8,29,4,WN,PIT,MDW,700,402.0,2.0,0
2024,7,15,1,WN,BUR,LAS,1730,223.0,23.0,1
2024,7,12,5,WN,ELP,SAT,1005,496.0,19.0,1
2024,3,29,5,WN,CMH,MDW,640,283.0,1.0,0
2024,9,3,2,OO,FAT,SLC,1235,501.0,-2.0,0
2024,8,21,3,YX,PIT,BOS,1726,496.0,9.0,0
2024,3,24,7,B6,PBI,HPN,2005,1056.0,24.0,0
2024,8,3,6,AS,LAX,SEA,2120,954.0,5.0,0
2024,3,1,5,WN,BOS,MDW,650,861.0,-1.0,0
2024,9,25,3,9E,ATL,MLU,1940,448.0,82.0,1
2024,12,23,1,9E,DAY,ATL,1937,432.0,61.0,1
2024,7,3,3,DL,DFW,MSP,1031,852.0,-5.0,0
2024,6,21,5,AA,PHL,IND,1319,588.0,-5.0,0
2024,12,25,3,WN,JAX,BWI,1740,663.0,0.0,0
2024,7,24,3,WN,BNA,DAL,2100,623.0,8.0,0
2024,1,22,1,DL,ALB,DTW,525,489.0,-7.0,0
2024,4,29,1,AA,SBP,DFW,1232,1360.0,-1.0,0
2024,6,3,1,G4,LIT,PIE,814,734.0,1.0,0
2024,3,7,4,AA,DFW,SFO,2242,1464.0,116.0,1
2024,7,30,2,NK,PIT,LAX,705,2136.0,20.0,0
2024,6,26,3,OO,DEN,DRO,940,251.0,-1.0,0
2024,4,1,1,DL,DTW,MSY,1615,926.0,-4.0,0
2024,12,30,1,UA,HNL,SFO,1425,2398.0,-6.0,0
2024,11,17,7,DL,AUS,ATL,1249,813.0,-3.0,0
2024,3,8,5,AA,DFW,ELP,2255,551.0,117.0,1
2024,4,26,5,F9,MIA,CLE,1959,1080.0,4.0,0
2024,5,8,3,OH,MSN,CLT,1045,708.0,-1.0,0
2024,12,21,6,WN,OGG,SJC,1355,2355.0,0.0,0
2024,7,3,3,MQ,ECP,DFW,930,685.0,-4.0,0
2024,5,26,7,AA,CLT,CLE,1739,430.0,-3.0,0
2024,12,21,6,WN,MCO,SLC,1615,1931.0,75.0,1
2024,11,30,6,HA,LIH,HNL,1110,102.0,-7.0,0
2024,4,28,7,DL,SFO,DTW,1640,2079.0,-1.0,0
2024,8,21,3,AA,EWR,PHX,1732,2133.0,5.0,0
2024,4,8,1,OO,ORD,DTW,1750,235.0,39.0,1
2024,10,21,1,OH,PHL,CVG,2120,507.0,-6.0,0
2024,11,13,3,DL,AUS,JFK,1557,1521.0,-4.0,0
2024,2,10,6,WN,DEN,HOU,1720,883.0,104.0,1
2024,10,4,5,WN,BUR,SJC,1650,296.0,-8.0,0
2024,5,24,5,AS,SEA,PHX,1151,1107.0,11.0,0
2024,2,8,4,NK,LAS,ORD,59,1514.0,-6.0,0
2024,3,6,3,WN,MAF,HOU,1400,441.0,10.0,0
2024,12,20,5,UA,EWR,MCO,700,937.0,-3.0,0
2024,3,14,4,WN,SNA,SMF,705,404.0,-3.0,0
2024,12,31,2,DL,SNA,ATL,1250,1919.0,-4.0,0
2024,4,8,1,WN,STL,FLL,2000,1057.0,1.0,0
2024,2,19,1,WN,PIT,MCO,1835,834.0,9.0,0
2024,12,24,2,B6,MCO,BDL,1245,1050.0,-7.0,0
2024,6,7,5,WN,MDW,OAK,1350,1844.0,13.0,0
2024,4,29,1,DL,JFK,SEA,700,2422.0,-4.0,0
2024,8,23,5,HA,KOA,HNL,1805,163.0,3.0,0
2024,1,11,4,WN,SAN,DAL,1015,1182.0,0.0,0
2024,7,20,6,AA,DFW,SNA,734,1205.0,8.0,0
2024,5,8,3,OO,CHO,ORD,655,566.0,-3.0,0
2024,12,30,1,OO,DTW,TVC,1555,207.0,-4.0,0
2024,5,7,2,DL,ATL,BOS,1420,946.0,-1.0,0
2024,8,6,2,9E,SHV,ATL,1856,551.0,-6.0,0
2024,4,28,7,AS,HNL,PAE,1427,2694.0,-16.0,0
2024,7,19,5,HA,LAX,HNL,1730,2556.0,15.0,0
2024,11,3,7,HA,OGG,HNL,1710,100.0,-6.0,0
2024,3,31,7,WN,RNO,PHX,1610,601.0,101.0,1
2024,12,14,6,UA,IAH,ORD,830,925.0,-5.0,0
2024,6,25,2,WN,ITO,HNL,1915,216.0,-5.0,0
2024,2,28,3,OH,CLT,CHS,1304,168.0,39.0,1
2024,8,16,5,AA,PHX,DFW,1222,868.0,1.0,0
2024,6,15,6,DL,DTW,DCA,725,405.0,27.0,0
2024,1,21,7,AA,AUS,BOS,732,1698.0,5.0,0
2024,10,29,2,AA,BNA,MIA,531,806.0,28.0,1
2024,4,6,6,YX,JFK,BUF,1735,301.0,-8.0,0
2024,8,16,5,UA,CLE,IAD,610,288.0,-5.0,0
2024,2,13,2,DL,DFW,MSP,1100,852.0,-6.0,0
2024,10,19,6,WN,SAT,ELP,825,496.0,-5.0,0
2024,5,16,4,WN,BNA,CHS,1555,439.0,2.0,0
2024,3,13,3,OH,CAE,DCA,1044,408.0,-12.0,0
2024,3,12,2,F9,DEN,DFW,501,641.0,-5.0,0
2024,3,6,3,UA,MCO,SFO,1820,2446.0,0.0,1
2024,2,29,4,MQ,BNA,ORD,1032,409.0,5.0,0
2024,6,8,6,UA,DEN,DSM,1755,589.0,11.0,1
2024,7,16,2,AA,DFW,CHS,2043,987.0,89.0,1
2024,8,3,6,MQ,CLL,DFW,505,164.0,-13.0,0
2024,8,19,1,AA,DFW,MCO,2041,985.0,0.0,0
2024,10,15,2,YX,PHL,LGA,1352,96.0,-9.0,0
2024,7,13,6,B6,SJU,JFK,2159,1598.0,0.0,0
2024,1,27,6,NK,FLL,ATL,900,581.0,5.0,0
2024,6,27,4,DL,MSP,MKE,1320,297.0,-4.0,0
2024,9,29,7,9E,LGA,GSP,1438,610.0,-4.0,0
2024,8,7,3,AA,PHX,ORD,22,1440.0,22.0,0
2024,7,27,6,OO,LAX,DEN,1423,862.0,-10.0,0
2024,9,27,5,F9,JFK,SJU,1108,1598.0,-5.0,0
2024,2,12,1,F9,MSY,MCO,1359,551.0,104.0,1
2024,6,19,3,AA,ORF,CLT,2012,290.0,23.0,0
2024,8,20,2,DL,BOS,PHX,1645,2300.0,130.0,1
2024,3,21,4,G4,GRR,PGD,1428,1118.0,-10.0,0
2024,12,4,3,WN,BWI,ALB,2055,289.0,12.0,0
2024,5,8,3,UA,DEN,MCO,1800,1546.0,43.0,1
2024,7,12,5,OH,CLT,SHV,1156,764.0,-3.0,0
2024,3,19,2,DL,LAX,BOS,2145,2611.0,3.0,0
2024,4,27,6,AA,MEM,DFW,1041,431.0,18.0,0
2024,8,4,7,9E,ALB,DTW,1216,489.0,155.0,1
2024,2,21,3,F9,TTN,MCO,1642,896.0,20.0,0
2024,4,22,1,G4,PIE,GSP,1302,482.0,-3.0,0
2024,3,7,4,DL,ATL,JFK,1959,760.0,-1.0,0
2024,12,15,7,WN,LGA,HOU,1800,1428.0,1.0,0
2024,7,17,3,NK,FLL,RDU,1522,680.0,95.0,1
2024,1,3,3,DL,RSW,DTW,600,1084.0,-9.0,0
2024,4,22,1,DL,DTW,PWM,2154,668.0,-7.0,0
2024,6,2,7,WN,GSP,ATL,640,153.0,-4.0,0
2024,10,18,5,YX,TUL,LGA,655,1231.0,-6.0,0
2024,8,21,3,YX,ORD,RDU,815,646.0,-1.0,0
2024,7,28,7,UA,BWI,ORD,1050,622.0,-2.0,0
2024,3,8,5,B6,ONT,JFK,2344,2429.0,6.0,0
2024,5,16,4,DL,SLC,ORD,1410,1250.0,-1.0,0
2024,6,28,5,OO,MEI,IAH,905,422.0,2.0,0
2024,6,21,5,WN,SNA,LAS,1825,226.0,24.0,1
2024,8,31,6,OH,CLT,FAY,1639,118.0,-5.0,0
2024,8,2,5,AA,DCA,ATL,2015,547.0,312.0,1
2024,9,15,7,MQ,ORD,AVL,1343,536.0,-9.0,1
2024,12,13,5,OO,SEA,ONT,1405,956.0,-9.0,0
2024,3,16,6,UA,DEN,AUS,620,775.0,-4.0,0
2024,6,5,3,OO,FAT,SAN,1210,314.0,-8.0,0
2024,5,9,4,DL,PDX,SLC,1320,630.0,-3.0,0
2024,7,1,1,AA,SFO,PHX,1841,651.0,7.0,0
2024,1,22,1,OO,DFW,SWO,2120,225.0,-4.0,0
2024,4,14,7,OH,CLT,OAJ,2243,191.0,29.0,1
2024,8,25,7,AA,JFK,SFO,1629,2586.0,7.0,0
2024,4,23,2,9E,LGA,PVD,2150,143.0,-11.0,0
2024,5,16,4,DL,PDX,SLC,1721,630.0,-5.0,0
2024,7,20,6,9E,TRI,ATL,605,227.0,268.0,1
2024,1,4,4,OH,GSP,PHL,803,515.0,-12.0,0
2024,11,16,6,DL,ATL,CMH,1531,447.0,-1.0,0
2024,5,20,1,AA,DFW,BNA,1513,631.0,11.0,1
2024,4,28,7,F9,DEN,MCI,641,533.0,-7.0,0
2024,10,24,4,AA,RSW,CLT,1345,600.0,-7.0,0
2024,5,14,2,WN,ATL,LIT,1205,453.0,12.0,0
2024,3,12,2,AA,ORD,AUS,1700,977.0,67.0,1
2024,4,12,5,B6,PBI,JFK,2115,1028.0,5.0,0
2024,1,17,3,AA,ORF,CLT,1602,290.0,80.0,1
2024,6,6,4,WN,MCO,CMH,1820,802.0,-2.0,1
2024,3,19,2,UA,DEN,SAT,1740,794.0,-3.0,0
2024,9,21,6,AA,PHL,DFW,1100,1303.0,-2.0,0
2024,7,5,5,YX,JAX,ORD,1241,864.0,-6.0,0
2024,9,7,6,UA,EWR,MSY,1610,1167.0,-3.0,0
2024,5,23,4,OO,SLC,PHX,545,507.0,-2.0,0
2024,9,20,5,UA,IAH,SJC,1958,1608.0,-5.0,0
2024,12,7,6,DL,DCA,MSP,600,931.0,-12.0,0
2024,4,1,1,AA,MCO,CLT,1041,468.0,-6.0,0
2024,1,5,5,WN,BWI,TPA,2125,842.0,58.0,1
2024,4,3,3,MQ,MSY,DFW,1056,447.0,181.0,1
2024,9,14,6,WN,SAN,MCI,1030,1334.0,-2.0,0
2024,7,17,3,OO,FSD,DEN,1400,483.0,-7.0,0
2024,1,12,5,WN,LAS,ONT,1205,197.0,35.0,1
2024,2,15,4,AA,PDX,PHX,1140,1009.0,-8.0,0
2024,1,5,5,NK,DTW,IAH,1400,1075.0,-3.0,0
2024,2,6,2,AA,CLT,TPA,1310,507.0,14.0,0
2024,9,3,2,WN,LAX,LAS,915,236.0,0.0,0
2024,10,2,3,WN,DCA,BNA,1900,562.0,1.0,0
2024,5,27,1,DL,DCA,ATL,1745,547.0,65.0,1
2024,1,27,6,9E,SHV,ATL,600,551.0,150.0,1
2024,12,1,7,DL,ATL,BUR,1051,1941.0,0.0,0
2024,7,11,4,YX,EWR,IND,1457,645.0,-7.0,0
2024,9,14,6,UA,EWR,BOS,2015,200.0,-6.0,0
2024,7,31,3,NK,FLL,PIT,2220,994.0,134.0,1
2024,5,23,4,AA,EUG,DFW,2359,1606.0,-7.0,0
2024,11,23,6,DL,ICT,ATL,1632,782.0,-7.0,0
2024,11,21,4,DL,ATL,MIA,1637,594.0,-3.0,0
2024,4,8,1,WN,MDW,BWI,1300,611.0,28.0,0
2024,3,16,6,AS,ABQ,SEA,1941,1180.0,-1.0,0
2024,2,10,6,WN,SMF,BUR,1815,358.0,11.0,0
2024,2,14,3,AS,PDX,ONT,1740,838.0,5.0,1
2024,1,12,5,AA,EGE,DFW,1140,721.0,-6.0,0
2024,4,8,1,WN,OMA,LAS,1330,1099.0,4.0,0
2024,10,13,7,UA,DEN,RAP,1130,300.0,-4.0,0
2024,2,27,2,WN,SMF,LAX,1315,373.0,0.0,0
2024,11,28,4,UA,ORD,SNA,900,1726.0,22.0,0
2024,9,1,7,HA,LIH,HNL,740,102.0,-6.0,0
2024,12,13,5,UA,ORD,LAS,850,1514.0,-1.0,1
2024,8,17,6,UA,LAX,SFO,2020,337.0,-4.0,0
2024,7,4,4,DL,LGA,DFW,1510,1389.0,-5.0,0
2024,6,29,6,WN,ECP,STL,700,634.0,4.0,0
2024,10,13,7,YX,ORD,TUL,1533,585.0,0.0,0
2024,8,2,5,B6,LAX,EWR,2055,2454.0,195.0,1
2024,4,29,1,YX,CMH,EWR,739,463.0,-5.0,0
2024,10,22,2,OO,PIT,DTW,1030,201.0,-8.0,0
2024,5,7,2,NK,ORD,MCO,609,1005.0,-11.0,0
2024,10,23,3,OO,SLC,BIL,927,387.0,-5.0,0
2024,6,3,1,NK,FLL,MSY,725,674.0,-2.0,0
2024,5,4,6,F9,PBI,ISP,937,1052.0,-3.0,0
2024,5,7,2,YX,LGA,CLE,750,419.0,-6.0,0
2024,2,1,4,AA,DFW,PIT,1113,1067.0,-8.0,0
2024,7,13,6,B6,LGA,ACK,1155,202.0,-3.0,0
2024,10,15,2,WN,EUG,SMF,1245,384.0,7.0,0
2024,9,13,5,OO,IAH,LGA,953,1416.0,58.0,1
2024,11,15,5,AA,RNO,PHX,1634,601.0,-9.0,0
2024,9,27,5,OO,MKE,JFK,1300,745.0,0.0,0
2024,4,30,2,DL,LAX,IAH,1810,1379.0,102.0,1
2024,7,4,4,OO,OKC,SLC,830,866.0,-8.0,0
2024,4,20,6,OO,ORD,ATW,2020,160.0,-10.0,0
2024,4,16,2,AA,IAH,MIA,650,964.0,-1.0,0
2024,6,23,7,OO,OKC,ORD,1030,693.0,-5.0,0
2024,6,10,1,AA,PDX,PHL,2323,2406.0,-9.0,0
2024,10,5,6,DL,RDU,MSP,1500,980.0,-11.0,0
2024,4,27,6,B6,FLL,BQN,2342,982.0,-9.0,0
2024,12,21,6,OO,SGU,PHX,1252,262.0,-9.0,0
2024,7,2,2,NK,FLL,BOS,1530,1237.0,14.0,0
2024,1,16,2,WN,TPA,BUF,930,1053.0,79.0,1
2024,11,13,3,WN,LGB,SMF,1740,387.0,18.0,0
2024,2,14,3,AA,MCI,PHX,1428,1044.0,15.0,0
2024,8,27,2,YX,LGA,BNA,734,764.0,-9.0,0
2024,1,31,3,WN,SJC,OGG,1330,2355.0,-3.0,1
2024,8,1,4,NK,BNA,LAS,642,1587.0,-6.0,0
2024,1,23,2,OO,MSP,DLH,909,144.0,-1.0,0
2024,8,10,6,WN,MYR,BWI,725,399.0,1.0,0
2024,11,22,5,MQ,DFW,CHA,1430,695.0,-6.0,0
2024,12,1,7,YX,ORF,IAD,1425,157.0,28.0,1
2024,7,31,3,G4,FSD,BNA,1259,741.0,-6.0,0
2024,1,28,7,MQ,ORD,FSD,2140,462.0,-7.0,0
2024,12,24,2,OH,MEM,PHL,615,875.0,69.0,1
2024,3,9,6,UA,DEN,HDN,1325,141.0,63.0,1
2024,2,19,1,9E,MKE,LGA,1840,738.0,-5.0,0
2024,6,24,1,DL,ATL,IAD,1221,534.0,0.0,0
2024,10,23,3,9E,JFK,RIC,830,288.0,-5.0,0
2024,3,1,5,YX,BOS,DCA,730,399.0,-7.0,0
2024,5,29,3,DL,LAX,RDU,1259,2239.0,-4.0,0
2024,8,7,3,YX,LIT,LGA,655,1085.0,-8.0,0
2024,7,28,7,MQ,DFW,ABI,1856,158.0,-3.0,0
2024,5,8,3,WN,PHX,ONT,1340,325.0,20.0,1
2024,11,19,2,UA,ORD,PHX,1553,1440.0,-1.0,0
2024,9,24,2,DL,EWR,ATL,1207,746.0,-7.0,0
2024,12,21,6,DL,DTW,ATL,1550,594.0,35.0,0
2024,11,7,4,AS,RDM,SEA,822,228.0,-7.0,0
2024,3,14,4,AA,DFW,DTW,2045,986.0,25.0,1
2024,2,24,6,DL,ATL,BUF,857,712.0,-6.0,0
2024,9,26,4,DL,SLC,BOI,1520,290.0,-3.0,0
2024,1,3,3,HA,HNL,KOA,1225,163.0,6.0,0
2024,6,27,4,AA,PHX,ORD,1850,1440.0,244.0,1
2024,6,7,5,AS,SAN,BOS,825,2588.0,-1.0,1
2024,3,4,1,AA,ORD,LAS,1011,1514.0,-2.0,0
2024,3,15,5,NK,FLL,ATL,2217,581.0,8.0,0
2024,1,18,4,MQ,DFW,FAR,1040,968.0,-4.0,0
2024,8,18,7,AA,ORD,SFO,1512,1846.0,-4.0,0
2024,9,26,4,UA,ORD,MCI,1950,403.0,-1.0,0
2024,3,31,7,9E,DSM,LGA,1353,1031.0,-5.0,0
